Specification,Intl_beta,Intl_se,Intl_p,Afr_beta,Afr_se,Afr_p,z_stat,Diff_p
GLM Unweighted,-0.596094047425798,0.20321914394386037,0.003354257337997646,0.11665947116244271,0.32020361607988795,0.7156123284481718,1.8793907336170343,0.06019116065860586
GLM Weighted,-0.700325235973303,0.1406865339529333,6.427374557549413e-07,0.18824205588282042,0.18838014625644195,0.3176653868166742,3.779263459963127,0.00015729293228328167
GEE Clustered,-0.5485409253289468,0.1732291648848487,0.0015425235418776498,0.240930271804539,0.21211505231239897,0.25602055159681925,2.882719332075527,0.003942585549006727
