model,n_obs,n_clusters,density_std_coef,density_std_se,density_std_pval,density_std_stars,log_ego_size_coef,log_ego_size_se,log_ego_size_pval,log_ego_size_stars,log_experience_coef,log_experience_se,log_experience_pval,log_experience_stars,year_2023_coef,year_2023_se,year_2023_pval,year_2023_stars,year_2024_coef,year_2024_se,year_2024_pval,year_2024_stars,diversity_std_coef,diversity_std_se,diversity_std_pval,diversity_std_stars,density_x_diversity_std_coef,density_x_diversity_std_se,density_x_diversity_std_pval,density_x_diversity_std_stars
M1_density,901,558,-0.3529279373079985,0.1460443718526003,0.01566707443207928,*,-0.43329052472994445,0.15144283338979783,0.00422196429049121,**,0.2579911871188622,0.1431432727514152,0.07149375132298215,†,0.056627706117506234,0.18972335773532634,0.7653405458683064,,0.3572532653850599,0.20098698156679537,0.07548690589570006,†,,,,,,,,
M2_diversity,901,558,,,,,-0.4314129837870457,0.1533351665894745,0.00490009204894874,**,0.41334910591133434,0.13316744753828638,0.0019093617885354345,**,0.06839164786717003,0.19050211913149073,0.7195896422288939,,0.33718160931970304,0.20025504019712356,0.09222788396587676,†,0.36113738315555566,0.14309257123852537,0.0116093144391451,*,,,,
M3_both,901,558,-0.3224796919141414,0.1440451644318649,0.025172829001648907,*,-0.5629573888338845,0.16351071600593123,0.0005754295102369468,***,0.26748034295791606,0.14515469125822333,0.06536900642085824,†,0.06651690607143361,0.19064692690611537,0.7271636240660336,,0.3470658334999221,0.20107294511931575,0.08433494980242694,†,0.33556898848290495,0.1427930516110411,0.018771533045866776,*,,,,
M4_interaction,901,558,-0.3256653684165522,0.14355835149372775,0.023297371597413387,*,-0.5347734013897357,0.17673720397899736,0.002479671301528435,**,0.28211440893678325,0.14617084424821997,0.05360287116620253,†,0.07328750323505046,0.19128714617079734,0.7016246988528361,,0.35172870854681076,0.20180786525196867,0.08135300578376961,†,0.29972166184103227,0.1555147431069298,0.0539437773764126,†,0.0846010650936382,0.13711233185045488,0.537221466184256,
