model,interaction_coef,interaction_se,interaction_pval,n_obs,significant,positive
Main (M4),0.0846010650936382,0.13711233185045488,0.537221466184256,901,False,True
R1_early_only,0.04355660978425681,0.09828177953375529,0.6576348762152254,901,False,True
R2_hardtech_only,-0.0903647352649813,0.11284398640334828,0.4232511798340636,901,False,False
R5_weighted_density,0.10410653350667047,0.13387526349498902,0.4367822701867766,901,False,True
R7_no_inferred,0.028712828122002994,0.16302931487116798,0.8601991619123515,774,False,True
R15_stable_regime,0.09942475405547439,0.14003342388366585,0.47769960552939106,551,False,True
