year,n_deals,total_funding_m,avg_deal_size_m,n_vcs,mean_density,mean_hrv_share
2022,1069,,,350,0.638058085295524,0.10410409107684676
2023,637,,,293,0.5438260387470596,0.11671744004037754
2024,588,,,258,0.5228060823515629,0.15383571486293535
