model,coef,se,pval,n_obs
14a_early_stage,-0.014084176162510086,0.158691330053078,0.9292789893152045,901
14b_hardtech,0.05493948513444549,0.16481534889510438,0.7388779383178228,901
14c_no_inferred,0.28542974594330195,0.19049277068792564,0.13403565622285254,901
14d_stable_regime,0.019089633316669494,0.2590128604663522,0.9412479144845235,551
