n_obs,n_clusters,diversity_type_std_coef,diversity_type_std_se,diversity_type_std_pval,density_std_coef,density_std_se,density_std_pval,log_ego_size_coef,log_ego_size_se,log_ego_size_pval,log_experience_coef,log_experience_se,log_experience_pval,year_2023_coef,year_2023_se,year_2023_pval,year_2024_coef,year_2024_se,year_2024_pval,model,diversity_geo_std_coef,diversity_geo_std_se,diversity_geo_std_pval,pct_international_std_coef,pct_international_std_se,pct_international_std_pval,pct_local_std_coef,pct_local_std_se,pct_local_std_pval,pct_regional_std_coef,pct_regional_std_se,pct_regional_std_pval
901,558,0.23174299002006,0.11789478074127814,0.04933600081904843,-0.32986541690893023,0.14317138669768759,0.02122321526477566,-0.5708602328068526,0.16718667222766348,0.000638973128574408,0.2804802818698801,0.14183705650242506,0.04798712882364263,0.08238043077216596,0.1923456508958543,0.6684373040495215,0.37314127417110987,0.20118619278593583,0.06363819642958135,5a_type_only,,,,,,,,,,,,
901,558,,,,-0.3329042679981554,0.14558392993474573,0.02221434457301,-0.4794126757952212,0.1548261326714237,0.0019584735394116027,0.2484105823193202,0.14586471093386807,0.08856424572596133,0.04989474120732086,0.1896974226684954,0.7925330304026579,0.333087909844429,0.20148613970277438,0.09829923070811664,5b_geo_only,0.19771424706240412,0.10438374159513042,0.05821046372117656,,,,,,,,,
901,558,0.1675701474211868,0.13231822536639207,0.20536356433611724,-0.3222734994995445,0.1439154522512753,0.025134764096266363,-0.5662738953843619,0.16741588201147378,0.0007184540855918423,0.2686191835681799,0.1433404436264936,0.06093120185606545,0.06756942204513047,0.19201287261298325,0.7249128991833298,0.34834931276364955,0.20215482111530672,0.08485582897536458,5c_both_components,0.1451594876532222,0.11693335968092086,0.21446302420631635,,,,,,,,,
901,558,,,,-0.35703246766833713,0.14614224287026187,0.014563812952788177,-0.4115386620343509,0.15211152646106796,0.006820039661193911,0.23537151322292305,0.1449873756896127,0.10450538708710028,0.04839524519502385,0.19025880211306084,0.7992133239402135,0.3494756993844057,0.20101657058174316,0.08211540112342176,5d_pct_international,,,,-0.09248444734266963,0.08796681244570176,0.29309505733764807,,,,,,
901,558,,,,-0.35869094413336916,0.14475625490580524,0.013215966340811262,-0.4164794165905802,0.15384266568634042,0.006785794735560327,0.24180423541338605,0.14200205562825027,0.0886013698943472,0.05211292597059941,0.18835374072986494,0.7820290389415955,0.3441101726614344,0.20012622790616916,0.0855296188576218,5e_all_geo_components,,,,-0.22760333305738242,0.2498981087958764,0.3624089119795999,-0.12519642552004506,0.23387017058854634,0.5924255072021829,-0.09819182612026436,0.1674903071166927,0.5577049842266183
