year,n_obs,density_coef,density_se,density_pval,diversity_coef,diversity_se,diversity_pval
2022,350,-0.18105199036345146,0.22674703282407174,0.4245945029863203,0.21960221860236903,0.24724171798347222,0.3744285570606347
2023,293,-0.5925053696746612,0.27733888952596536,0.03264724512775507,0.5129882934938456,0.2146390211773785,0.01684815204297384
2024,258,-0.3256653181389173,0.22079190201369633,0.14021587659108176,0.3142451164935203,0.26447293544911704,0.23475704445506573
