n_obs,n_clusters,density_std_coef,density_std_se,density_std_pval,diversity_std_coef,diversity_std_se,diversity_std_pval,log_ego_size_coef,log_ego_size_se,log_ego_size_pval,log_experience_coef,log_experience_se,log_experience_pval,year_2023_coef,year_2023_se,year_2023_pval,year_2024_coef,year_2024_se,year_2024_pval,model,subsample,focal_is_african_coef,focal_is_african_se,focal_is_african_pval,density_x_african_coef,density_x_african_se,density_x_african_pval,diversity_x_african_coef,diversity_x_african_se,diversity_x_african_pval
295,163,0.240930271804539,0.21211505231239897,0.25602055159681925,0.3164485177467809,0.21277076963308675,0.13694235418829873,-0.09111792408424604,0.23362831186000343,0.6965274236992562,0.2948909116859674,0.22664972372093514,0.1932288241109844,-0.19356748035791935,0.30525599315602553,0.5260056112110139,0.24253561747740435,0.2952754933231392,0.4114255462179227,6a_african_only,African HQ,,,,,,,,,
606,395,-0.5485409253289468,0.1732291648848487,0.0015425235418776498,0.2985661645628826,0.18876436291828455,0.1137210108288855,-0.8168187949756339,0.21805134649212593,0.00017968167541529127,0.30972803952038624,0.19019145751031874,0.10341751570737091,0.17755547280042366,0.24218963849370348,0.4634817048130585,0.41174082159651826,0.27263975890115166,0.1309921575887887,6b_international_only,International HQ,,,,,,,,,
901,558,-0.43240867160768603,0.16437599864856,0.00852325054708708,0.22530013441119956,0.1812385234714619,0.2138258507850772,-0.5636761593972173,0.16980717476933999,0.0009017644100741275,0.28411663359979294,0.14615086508707287,0.051895985877307864,0.048075287276803845,0.19149898613146746,0.8017776049421462,0.34432020909955924,0.20197016507587334,0.08823037209952328,6c_interaction,,0.04797346849344614,0.22374102042664673,0.8302233143186762,0.37193280916359883,0.21053535239001908,0.0772944006942614,0.2856625177335428,0.25979044379431976,0.27151156668360865
