Specification,N_Intl,N_Afr,Intl_beta,Intl_pval,Afr_beta,Afr_pval,Diff,z_stat,Diff_pval
Original,606,295,-0.5485409253289468,0.0015425235418776498,0.240930271804539,0.25602055159681925,0.7894711971334858,2.882719332075527,0.003942585549006727
Common Support,606,294,-0.5480942421635727,0.0015425235418776687,0.25467976983781637,0.2339927115573559,0.8027740120013891,2.9167284465817,0.003537235848228404
Trim 10%,541,264,-0.48783864254754844,0.01060352985359814,0.5234862121297759,0.03404396685632099,1.0113248546773244,3.2398138110484203,0.0011960777244706122
